"","Region","Modification","Frequency","axisGroup","Expression","SampleGenes"
"222","UpstreamIntergenic","H3-1",0,-60,"Low Expression","clusteredNLRs_Seedling"
"223","UpstreamIntergenic","H3K9ac",28.5714285714286,-60,"Low Expression","clusteredNLRs_Seedling"
"224","UpstreamIntergenic","H4K12ac",0,-60,"Low Expression","clusteredNLRs_Seedling"
"225","UpstreamIntergenic","H3K27me1",0,-60,"Low Expression","clusteredNLRs_Seedling"
"226","UpstreamIntergenic","H4K16ac",0,-60,"Low Expression","clusteredNLRs_Seedling"
"227","UpstreamIntergenic","H3K14ac",7.14285714285714,-60,"Low Expression","clusteredNLRs_Seedling"
"228","UpstreamIntergenic","H2A",0,-60,"Low Expression","clusteredNLRs_Seedling"
"229","UpstreamIntergenic","H3",0,-60,"Low Expression","clusteredNLRs_Seedling"
"230","UpstreamIntergenic","H2A-X",0,-60,"Low Expression","clusteredNLRs_Seedling"
"231","UpstreamIntergenic","H3K18ac",0,-60,"Low Expression","clusteredNLRs_Seedling"
"232","Promotor1000","H3-3",28.5714285714286,-40,"Low Expression","clusteredNLRs_Seedling"
"233","Promotor1000","H3K9me2",0,-40,"Low Expression","clusteredNLRs_Seedling"
"234","Promotor1000","H3K27me3",7.14285714285714,-40,"Low Expression","clusteredNLRs_Seedling"
"235","Promotor1000","H2A-Z",57.1428571428571,-40,"Low Expression","clusteredNLRs_Seedling"
"236","Promotor1000","H2AK121ub",28.5714285714286,-40,"Low Expression","clusteredNLRs_Seedling"
"237","Promotor1000","H3ac",0,-40,"Low Expression","clusteredNLRs_Seedling"
"238","Promotor1000","H3K4me3",21.4285714285714,-40,"Low Expression","clusteredNLRs_Seedling"
"239","Promotor1000","H3K36me3",14.2857142857143,-40,"Low Expression","clusteredNLRs_Seedling"
"240","Promotor1000","H3K27ac",21.4285714285714,-40,"Low Expression","clusteredNLRs_Seedling"
"241","Promotor1000","H4K5ac",7.14285714285714,-40,"Low Expression","clusteredNLRs_Seedling"
"242","Promotor1000","H4K8ac",14.2857142857143,-40,"Low Expression","clusteredNLRs_Seedling"
"243","Promotor1000","H3-1",0,-40,"Low Expression","clusteredNLRs_Seedling"
"244","Promotor1000","H3K9ac",64.2857142857143,-40,"Low Expression","clusteredNLRs_Seedling"
"245","Promotor1000","H4K12ac",14.2857142857143,-40,"Low Expression","clusteredNLRs_Seedling"
"246","Promotor1000","H3K27me1",0,-40,"Low Expression","clusteredNLRs_Seedling"
"247","Promotor1000","H4K16ac",21.4285714285714,-40,"Low Expression","clusteredNLRs_Seedling"
"248","Promotor1000","H3K14ac",21.4285714285714,-40,"Low Expression","clusteredNLRs_Seedling"
"249","Promotor1000","H2A",7.14285714285714,-40,"Low Expression","clusteredNLRs_Seedling"
"250","Promotor1000","H3",14.2857142857143,-40,"Low Expression","clusteredNLRs_Seedling"
"251","Promotor1000","H2A-X",0,-40,"Low Expression","clusteredNLRs_Seedling"
"252","Promotor1000","H3K18ac",0,-40,"Low Expression","clusteredNLRs_Seedling"
"253","Promotor500","H3-3",0,-20,"Low Expression","clusteredNLRs_Seedling"
"254","Promotor500","H3K9me2",0,-20,"Low Expression","clusteredNLRs_Seedling"
"255","Promotor500","H3K27me3",0,-20,"Low Expression","clusteredNLRs_Seedling"
"256","Promotor500","H2A-Z",42.8571428571429,-20,"Low Expression","clusteredNLRs_Seedling"
"257","Promotor500","H2AK121ub",28.5714285714286,-20,"Low Expression","clusteredNLRs_Seedling"
"258","Promotor500","H3ac",0,-20,"Low Expression","clusteredNLRs_Seedling"
"259","Promotor500","H3K4me3",50,-20,"Low Expression","clusteredNLRs_Seedling"
"260","Promotor500","H3K36me3",7.14285714285714,-20,"Low Expression","clusteredNLRs_Seedling"
"261","Promotor500","H3K27ac",28.5714285714286,-20,"Low Expression","clusteredNLRs_Seedling"
"262","Promotor500","H4K5ac",14.2857142857143,-20,"Low Expression","clusteredNLRs_Seedling"
"263","Promotor500","H4K8ac",7.14285714285714,-20,"Low Expression","clusteredNLRs_Seedling"
"264","Promotor500","H3-1",0,-20,"Low Expression","clusteredNLRs_Seedling"
"265","Promotor500","H3K9ac",57.1428571428571,-20,"Low Expression","clusteredNLRs_Seedling"
"266","Promotor500","H4K12ac",7.14285714285714,-20,"Low Expression","clusteredNLRs_Seedling"
"267","Promotor500","H3K27me1",0,-20,"Low Expression","clusteredNLRs_Seedling"
"268","Promotor500","H4K16ac",7.14285714285714,-20,"Low Expression","clusteredNLRs_Seedling"
"269","Promotor500","H3K14ac",14.2857142857143,-20,"Low Expression","clusteredNLRs_Seedling"
"270","Promotor500","H2A",0,-20,"Low Expression","clusteredNLRs_Seedling"
"271","Promotor500","H3",0,-20,"Low Expression","clusteredNLRs_Seedling"
"272","Promotor500","H2A-X",0,-20,"Low Expression","clusteredNLRs_Seedling"
"273","Promotor500","H3K18ac",7.14285714285714,-20,"Low Expression","clusteredNLRs_Seedling"
"274","Gene20","H3-3",35.7142857142857,20,"Low Expression","clusteredNLRs_Seedling"
"275","Gene20","H3K9me2",7.14285714285714,20,"Low Expression","clusteredNLRs_Seedling"
"276","Gene20","H3K27me3",21.4285714285714,20,"Low Expression","clusteredNLRs_Seedling"
"277","Gene20","H2A-Z",64.2857142857143,20,"Low Expression","clusteredNLRs_Seedling"
"278","Gene20","H2AK121ub",57.1428571428571,20,"Low Expression","clusteredNLRs_Seedling"
"279","Gene20","H3ac",0,20,"Low Expression","clusteredNLRs_Seedling"
"280","Gene20","H3K4me3",78.5714285714286,20,"Low Expression","clusteredNLRs_Seedling"
"281","Gene20","H3K36me3",57.1428571428571,20,"Low Expression","clusteredNLRs_Seedling"
"282","Gene20","H3K27ac",64.2857142857143,20,"Low Expression","clusteredNLRs_Seedling"
"283","Gene20","H4K5ac",64.2857142857143,20,"Low Expression","clusteredNLRs_Seedling"
"284","Gene20","H4K8ac",64.2857142857143,20,"Low Expression","clusteredNLRs_Seedling"
"285","Gene20","H3-1",21.4285714285714,20,"Low Expression","clusteredNLRs_Seedling"
"286","Gene20","H3K9ac",78.5714285714286,20,"Low Expression","clusteredNLRs_Seedling"
"287","Gene20","H4K12ac",64.2857142857143,20,"Low Expression","clusteredNLRs_Seedling"
"288","Gene20","H3K27me1",14.2857142857143,20,"Low Expression","clusteredNLRs_Seedling"
"289","Gene20","H4K16ac",64.2857142857143,20,"Low Expression","clusteredNLRs_Seedling"
"290","Gene20","H3K14ac",64.2857142857143,20,"Low Expression","clusteredNLRs_Seedling"
"291","Gene20","H2A",21.4285714285714,20,"Low Expression","clusteredNLRs_Seedling"
"292","Gene20","H3",21.4285714285714,20,"Low Expression","clusteredNLRs_Seedling"
"293","Gene20","H2A-X",7.14285714285714,20,"Low Expression","clusteredNLRs_Seedling"
"294","Gene20","H3K18ac",21.4285714285714,20,"Low Expression","clusteredNLRs_Seedling"
"295","Gene40","H3-3",35.7142857142857,40,"Low Expression","clusteredNLRs_Seedling"
"296","Gene40","H3K9me2",7.14285714285714,40,"Low Expression","clusteredNLRs_Seedling"
"297","Gene40","H3K27me3",21.4285714285714,40,"Low Expression","clusteredNLRs_Seedling"
"298","Gene40","H2A-Z",28.5714285714286,40,"Low Expression","clusteredNLRs_Seedling"
"299","Gene40","H2AK121ub",28.5714285714286,40,"Low Expression","clusteredNLRs_Seedling"
"300","Gene40","H3ac",0,40,"Low Expression","clusteredNLRs_Seedling"
"301","Gene40","H3K4me3",57.1428571428571,40,"Low Expression","clusteredNLRs_Seedling"
"302","Gene40","H3K36me3",50,40,"Low Expression","clusteredNLRs_Seedling"
"303","Gene40","H3K27ac",35.7142857142857,40,"Low Expression","clusteredNLRs_Seedling"
"304","Gene40","H4K5ac",21.4285714285714,40,"Low Expression","clusteredNLRs_Seedling"
"305","Gene40","H4K8ac",21.4285714285714,40,"Low Expression","clusteredNLRs_Seedling"
"306","Gene40","H3-1",42.8571428571429,40,"Low Expression","clusteredNLRs_Seedling"
"307","Gene40","H3K9ac",42.8571428571429,40,"Low Expression","clusteredNLRs_Seedling"
"308","Gene40","H4K12ac",21.4285714285714,40,"Low Expression","clusteredNLRs_Seedling"
"309","Gene40","H3K27me1",35.7142857142857,40,"Low Expression","clusteredNLRs_Seedling"
"310","Gene40","H4K16ac",28.5714285714286,40,"Low Expression","clusteredNLRs_Seedling"
"311","Gene40","H3K14ac",28.5714285714286,40,"Low Expression","clusteredNLRs_Seedling"
"312","Gene40","H2A",28.5714285714286,40,"Low Expression","clusteredNLRs_Seedling"
"313","Gene40","H3",28.5714285714286,40,"Low Expression","clusteredNLRs_Seedling"
"314","Gene40","H2A-X",14.2857142857143,40,"Low Expression","clusteredNLRs_Seedling"
"315","Gene40","H3K18ac",7.14285714285714,40,"Low Expression","clusteredNLRs_Seedling"
"316","Gene60","H3-3",50,60,"Low Expression","clusteredNLRs_Seedling"
"317","Gene60","H3K9me2",14.2857142857143,60,"Low Expression","clusteredNLRs_Seedling"
"318","Gene60","H3K27me3",7.14285714285714,60,"Low Expression","clusteredNLRs_Seedling"
"319","Gene60","H2A-Z",28.5714285714286,60,"Low Expression","clusteredNLRs_Seedling"
"320","Gene60","H2AK121ub",14.2857142857143,60,"Low Expression","clusteredNLRs_Seedling"
"321","Gene60","H3ac",0,60,"Low Expression","clusteredNLRs_Seedling"
