"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"192","Promotor1000","H2A-X",0.00247142857142857,"control1_leaves",-40,"No Expression",70
"193","Promotor500","H2A-X",0.0113428571428571,"control1_leaves",-20,"No Expression",70
"194","Gene20","H2A-X",0.0298968436659893,"control1_leaves",20,"No Expression",70
"195","Gene40","H2A-X",0,"control1_leaves",40,"No Expression",70
"196","Gene60","H2A-X",0,"control1_leaves",60,"No Expression",70
"197","Gene80","H2A-X",0.0178038335337963,"control1_leaves",80,"No Expression",70
"198","Gene100","H2A-X",0.0230867035263642,"control1_leaves",100,"No Expression",70
"199","Downstream","H2A-X",0.0142857142857143,"control1_leaves",120,"No Expression",70
"200","DownstreamIntergenic","H2A-X",0.000724828676858197,"control1_leaves",140,"No Expression",70
"201","UpstreamIntergenic","H3K18ac",0,"control1_leaves",-60,"No Expression",70
"202","Promotor1000","H3K18ac",0,"control1_leaves",-40,"No Expression",70
"203","Promotor500","H3K18ac",0,"control1_leaves",-20,"No Expression",70
"204","Gene20","H3K18ac",0,"control1_leaves",20,"No Expression",70
"205","Gene40","H3K18ac",0,"control1_leaves",40,"No Expression",70
"206","Gene60","H3K18ac",0,"control1_leaves",60,"No Expression",70
"207","Gene80","H3K18ac",0,"control1_leaves",80,"No Expression",70
"208","Gene100","H3K18ac",0,"control1_leaves",100,"No Expression",70
"209","Downstream","H3K18ac",0,"control1_leaves",120,"No Expression",70
"210","DownstreamIntergenic","H3K18ac",0,"control1_leaves",140,"No Expression",70
"211","UpstreamIntergenic","H3-3",0,"control1_leaves",-60,"Low Expression",115
"212","Promotor1000","H3-3",0,"control1_leaves",-40,"Low Expression",115
"213","Promotor500","H3-3",0,"control1_leaves",-20,"Low Expression",115
"214","Gene20","H3-3",0,"control1_leaves",20,"Low Expression",115
"215","Gene40","H3-3",0,"control1_leaves",40,"Low Expression",115
"216","Gene60","H3-3",0,"control1_leaves",60,"Low Expression",115
