"","Region","Modification","Frequency","axisGroup","Expression","dataToAnalyse"
"364","Gene100","H3K4me3",11.965811965812,100,"Low Expression","control1_root"
"365","Gene100","H3K36me3",0,100,"Low Expression","control1_root"
"366","Gene100","H3K27ac",0,100,"Low Expression","control1_root"
"367","Gene100","H4K5ac",0,100,"Low Expression","control1_root"
"368","Gene100","H4K8ac",0,100,"Low Expression","control1_root"
"369","Gene100","H3-1",0,100,"Low Expression","control1_root"
"370","Gene100","H3K9ac",0,100,"Low Expression","control1_root"
"371","Gene100","H4K12ac",0,100,"Low Expression","control1_root"
"372","Gene100","H3K27me1",0,100,"Low Expression","control1_root"
"373","Gene100","H4K16ac",0,100,"Low Expression","control1_root"
"374","Gene100","H3K14ac",0,100,"Low Expression","control1_root"
"375","Gene100","H2A",0,100,"Low Expression","control1_root"
"376","Gene100","H3",0,100,"Low Expression","control1_root"
"377","Gene100","H2A-X",0,100,"Low Expression","control1_root"
"378","Gene100","H3K18ac",0,100,"Low Expression","control1_root"
"379","Downstream","H3-3",0,120,"Low Expression","control1_root"
"380","Downstream","H3K9me2",0,120,"Low Expression","control1_root"
"381","Downstream","H3K27me3",6.83760683760684,120,"Low Expression","control1_root"
"382","Downstream","H2A-Z",0,120,"Low Expression","control1_root"
"383","Downstream","H2AK121ub",0,120,"Low Expression","control1_root"
"384","Downstream","H3ac",14.5299145299145,120,"Low Expression","control1_root"
"385","Downstream","H3K4me3",5.98290598290598,120,"Low Expression","control1_root"
"386","Downstream","H3K36me3",0,120,"Low Expression","control1_root"
"387","Downstream","H3K27ac",0,120,"Low Expression","control1_root"
"388","Downstream","H4K5ac",0,120,"Low Expression","control1_root"
"389","Downstream","H4K8ac",0,120,"Low Expression","control1_root"
"390","Downstream","H3-1",0,120,"Low Expression","control1_root"
"391","Downstream","H3K9ac",0,120,"Low Expression","control1_root"
"392","Downstream","H4K12ac",0,120,"Low Expression","control1_root"
"393","Downstream","H3K27me1",0,120,"Low Expression","control1_root"
"394","Downstream","H4K16ac",0,120,"Low Expression","control1_root"
"395","Downstream","H3K14ac",0,120,"Low Expression","control1_root"
"396","Downstream","H2A",0,120,"Low Expression","control1_root"
"397","Downstream","H3",0,120,"Low Expression","control1_root"
"398","Downstream","H2A-X",0,120,"Low Expression","control1_root"
"399","Downstream","H3K18ac",0,120,"Low Expression","control1_root"
"400","DownstreamIntergenic","H3-3",0,140,"Low Expression","control1_root"
"401","DownstreamIntergenic","H3K9me2",0,140,"Low Expression","control1_root"
"402","DownstreamIntergenic","H3K27me3",2.56410256410256,140,"Low Expression","control1_root"
"403","DownstreamIntergenic","H2A-Z",0,140,"Low Expression","control1_root"
"404","DownstreamIntergenic","H2AK121ub",0,140,"Low Expression","control1_root"
"405","DownstreamIntergenic","H3ac",4.27350427350427,140,"Low Expression","control1_root"
"406","DownstreamIntergenic","H3K4me3",2.56410256410256,140,"Low Expression","control1_root"
"407","DownstreamIntergenic","H3K36me3",0,140,"Low Expression","control1_root"
"408","DownstreamIntergenic","H3K27ac",0,140,"Low Expression","control1_root"
"409","DownstreamIntergenic","H4K5ac",0,140,"Low Expression","control1_root"
"410","DownstreamIntergenic","H4K8ac",0,140,"Low Expression","control1_root"
"411","DownstreamIntergenic","H3-1",0,140,"Low Expression","control1_root"
"412","DownstreamIntergenic","H3K9ac",0,140,"Low Expression","control1_root"
"413","DownstreamIntergenic","H4K12ac",0,140,"Low Expression","control1_root"
"414","DownstreamIntergenic","H3K27me1",0,140,"Low Expression","control1_root"
