"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"242","Promotor1000","H2A-Z",0,"control1_root",-40,"Low Expression",118
"243","Promotor500","H2A-Z",0,"control1_root",-20,"Low Expression",118
"244","Gene20","H2A-Z",0,"control1_root",20,"Low Expression",118
"245","Gene40","H2A-Z",0,"control1_root",40,"Low Expression",118
"246","Gene60","H2A-Z",0,"control1_root",60,"Low Expression",118
"247","Gene80","H2A-Z",0,"control1_root",80,"Low Expression",118
"248","Gene100","H2A-Z",0,"control1_root",100,"Low Expression",118
"249","Downstream","H2A-Z",0,"control1_root",120,"Low Expression",118
"250","DownstreamIntergenic","H2A-Z",0,"control1_root",140,"Low Expression",118
"251","UpstreamIntergenic","H2AK121ub",0,"control1_root",-60,"Low Expression",118
"252","Promotor1000","H2AK121ub",0,"control1_root",-40,"Low Expression",118
"253","Promotor500","H2AK121ub",0,"control1_root",-20,"Low Expression",118
"254","Gene20","H2AK121ub",0,"control1_root",20,"Low Expression",118
"255","Gene40","H2AK121ub",0,"control1_root",40,"Low Expression",118
"256","Gene60","H2AK121ub",0,"control1_root",60,"Low Expression",118
"257","Gene80","H2AK121ub",0,"control1_root",80,"Low Expression",118
"258","Gene100","H2AK121ub",0,"control1_root",100,"Low Expression",118
"259","Downstream","H2AK121ub",0,"control1_root",120,"Low Expression",118
"260","DownstreamIntergenic","H2AK121ub",0,"control1_root",140,"Low Expression",118
"261","UpstreamIntergenic","H3ac",0.00688953104630038,"control1_root",-60,"Low Expression",118
"262","Promotor1000","H3ac",0.22564406779661,"control1_root",-40,"Low Expression",118
"263","Promotor500","H3ac",0.271525423728814,"control1_root",-20,"Low Expression",118
"264","Gene20","H3ac",0.754244783546976,"control1_root",20,"Low Expression",118
"265","Gene40","H3ac",0.535619668789384,"control1_root",40,"Low Expression",118
"266","Gene60","H3ac",0.284526397485993,"control1_root",60,"Low Expression",118
"267","Gene80","H3ac",0.193566615993663,"control1_root",80,"Low Expression",118
"268","Gene100","H3ac",0.130022384659007,"control1_root",100,"Low Expression",118
"269","Downstream","H3ac",0.120762711864407,"control1_root",120,"Low Expression",118
"270","DownstreamIntergenic","H3ac",0.0139173364559484,"control1_root",140,"Low Expression",118
"271","UpstreamIntergenic","H3K4me3",0,"control1_root",-60,"Low Expression",118
"272","Promotor1000","H3K4me3",0.0713135593220339,"control1_root",-40,"Low Expression",118
"273","Promotor500","H3K4me3",0.0845084745762712,"control1_root",-20,"Low Expression",118
"274","Gene20","H3K4me3",0.312276776741126,"control1_root",20,"Low Expression",118
"275","Gene40","H3K4me3",0.252160434891135,"control1_root",40,"Low Expression",118
"276","Gene60","H3K4me3",0.167495926739575,"control1_root",60,"Low Expression",118
"277","Gene80","H3K4me3",0.115222377173635,"control1_root",80,"Low Expression",118
"278","Gene100","H3K4me3",0.0780579731597765,"control1_root",100,"Low Expression",118
"279","Downstream","H3K4me3",0.065635593220339,"control1_root",120,"Low Expression",118
"280","DownstreamIntergenic","H3K4me3",0.00569110738602264,"control1_root",140,"Low Expression",118
"281","UpstreamIntergenic","H3K36me3",0,"control1_root",-60,"Low Expression",118
"282","Promotor1000","H3K36me3",0,"control1_root",-40,"Low Expression",118
"283","Promotor500","H3K36me3",0,"control1_root",-20,"Low Expression",118
"284","Gene20","H3K36me3",0,"control1_root",20,"Low Expression",118
"285","Gene40","H3K36me3",0,"control1_root",40,"Low Expression",118
"286","Gene60","H3K36me3",0,"control1_root",60,"Low Expression",118
"287","Gene80","H3K36me3",0,"control1_root",80,"Low Expression",118
"288","Gene100","H3K36me3",0,"control1_root",100,"Low Expression",118
"289","Downstream","H3K36me3",0,"control1_root",120,"Low Expression",118
"290","DownstreamIntergenic","H3K36me3",0,"control1_root",140,"Low Expression",118
"291","UpstreamIntergenic","H3K27ac",0,"control1_root",-60,"Low Expression",118
"292","Promotor1000","H3K27ac",0,"control1_root",-40,"Low Expression",118
"293","Promotor500","H3K27ac",0,"control1_root",-20,"Low Expression",118
"294","Gene20","H3K27ac",0,"control1_root",20,"Low Expression",118
"295","Gene40","H3K27ac",0,"control1_root",40,"Low Expression",118
"296","Gene60","H3K27ac",0,"control1_root",60,"Low Expression",118
"297","Gene80","H3K27ac",0,"control1_root",80,"Low Expression",118
"298","Gene100","H3K27ac",0,"control1_root",100,"Low Expression",118
"299","Downstream","H3K27ac",0,"control1_root",120,"Low Expression",118
"300","DownstreamIntergenic","H3K27ac",0,"control1_root",140,"Low Expression",118
"301","UpstreamIntergenic","H4K5ac",0,"control1_root",-60,"Low Expression",118
"302","Promotor1000","H4K5ac",0,"control1_root",-40,"Low Expression",118
"303","Promotor500","H4K5ac",0,"control1_root",-20,"Low Expression",118
"304","Gene20","H4K5ac",0,"control1_root",20,"Low Expression",118
"305","Gene40","H4K5ac",0,"control1_root",40,"Low Expression",118
"306","Gene60","H4K5ac",0,"control1_root",60,"Low Expression",118
