"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"216","Gene60","H3-3",0.67048921718828,"control1_seedlings",60,"Low Expression",126
"217","Gene80","H3-3",0.739777305431502,"control1_seedlings",80,"Low Expression",126
"218","Gene100","H3-3",0.600376626603479,"control1_seedlings",100,"Low Expression",126
"219","Downstream","H3-3",0.369920634920635,"control1_seedlings",120,"Low Expression",126
"220","DownstreamIntergenic","H3-3",0.0583752022301477,"control1_seedlings",140,"Low Expression",126
"221","UpstreamIntergenic","H3K9me2",0.0119847476670813,"control1_seedlings",-60,"Low Expression",126
"222","Promotor1000","H3K9me2",0.019484126984127,"control1_seedlings",-40,"Low Expression",126
"223","Promotor500","H3K9me2",0.0114603174603175,"control1_seedlings",-20,"Low Expression",126
"224","Gene20","H3K9me2",0.0034311367644701,"control1_seedlings",20,"Low Expression",126
"225","Gene40","H3K9me2",0.00793650793650794,"control1_seedlings",40,"Low Expression",126
"226","Gene60","H3K9me2",0.00793650793650794,"control1_seedlings",60,"Low Expression",126
"227","Gene80","H3K9me2",0.00793650793650794,"control1_seedlings",80,"Low Expression",126
"228","Gene100","H3K9me2",0.00122347789690589,"control1_seedlings",100,"Low Expression",126
"229","Downstream","H3K9me2",0,"control1_seedlings",120,"Low Expression",126
"230","DownstreamIntergenic","H3K9me2",0.00333648557732273,"control1_seedlings",140,"Low Expression",126
"231","UpstreamIntergenic","H3K27me3",0.0990741154090645,"control1_seedlings",-60,"Low Expression",126
"232","Promotor1000","H3K27me3",0.184825396825397,"control1_seedlings",-40,"Low Expression",126
"233","Promotor500","H3K27me3",0.168968253968254,"control1_seedlings",-20,"Low Expression",126
"234","Gene20","H3K27me3",0.21877363704033,"control1_seedlings",20,"Low Expression",126
"235","Gene40","H3K27me3",0.203533367139444,"control1_seedlings",40,"Low Expression",126
"236","Gene60","H3K27me3",0.210808387597568,"control1_seedlings",60,"Low Expression",126
"237","Gene80","H3K27me3",0.175831254493618,"control1_seedlings",80,"Low Expression",126
"238","Gene100","H3K27me3",0.140431990788157,"control1_seedlings",100,"Low Expression",126
