"","Region","Modification","Frequency","n","axisGroup","Expression","SampleGenes"
"160","Gene100","H3K9ac",32.2916666666667,31,100,"No Expression","clusteredNLRs_Leaf"
"161","Gene100","H4K12ac",18.75,18,100,"No Expression","clusteredNLRs_Leaf"
"162","Gene100","H3K27me1",43.75,42,100,"No Expression","clusteredNLRs_Leaf"
"163","Gene100","H4K16ac",15.625,15,100,"No Expression","clusteredNLRs_Leaf"
"164","Gene100","H3K14ac",27.0833333333333,26,100,"No Expression","clusteredNLRs_Leaf"
"165","Gene100","H2A",31.25,30,100,"No Expression","clusteredNLRs_Leaf"
"166","Gene100","H3",19.7916666666667,19,100,"No Expression","clusteredNLRs_Leaf"
"167","Gene100","H2A-X",12.5,12,100,"No Expression","clusteredNLRs_Leaf"
"168","Gene100","H3K18ac",9.375,9,100,"No Expression","clusteredNLRs_Leaf"
"169","Downstream","H3-3",37.5,36,120,"No Expression","clusteredNLRs_Leaf"
"170","Downstream","H3K9me2",2.08333333333333,2,120,"No Expression","clusteredNLRs_Leaf"
"171","Downstream","H3K27me3",23.9583333333333,23,120,"No Expression","clusteredNLRs_Leaf"
"172","Downstream","H2A-Z",58.3333333333333,56,120,"No Expression","clusteredNLRs_Leaf"
"173","Downstream","H2AK121ub",12.5,12,120,"No Expression","clusteredNLRs_Leaf"
"174","Downstream","H3ac",0,0,120,"No Expression","clusteredNLRs_Leaf"
"175","Downstream","H3K4me3",26.0416666666667,25,120,"No Expression","clusteredNLRs_Leaf"
"176","Downstream","H3K36me3",11.4583333333333,11,120,"No Expression","clusteredNLRs_Leaf"
"177","Downstream","H3K27ac",5.20833333333333,5,120,"No Expression","clusteredNLRs_Leaf"
"178","Downstream","H4K5ac",10.4166666666667,10,120,"No Expression","clusteredNLRs_Leaf"
"179","Downstream","H4K8ac",7.29166666666667,7,120,"No Expression","clusteredNLRs_Leaf"
"180","Downstream","H3-1",16.6666666666667,16,120,"No Expression","clusteredNLRs_Leaf"
"181","Downstream","H3K9ac",19.7916666666667,19,120,"No Expression","clusteredNLRs_Leaf"
"182","Downstream","H4K12ac",9.375,9,120,"No Expression","clusteredNLRs_Leaf"
"183","Downstream","H3K27me1",20.8333333333333,20,120,"No Expression","clusteredNLRs_Leaf"
"184","Downstream","H4K16ac",6.25,6,120,"No Expression","clusteredNLRs_Leaf"
"185","Downstream","H3K14ac",13.5416666666667,13,120,"No Expression","clusteredNLRs_Leaf"
"186","Downstream","H2A",12.5,12,120,"No Expression","clusteredNLRs_Leaf"
