"","Region","Modification","Frequency","axisGroup","Expression","SampleGenes"
"191","DownstreamIntergenic","H3K9me2",0,140,"Intermediate Expression","control6_Seedling"
"192","DownstreamIntergenic","H3K27me3",0,140,"Intermediate Expression","control6_Seedling"
"193","DownstreamIntergenic","H2A-Z",22.2222222222222,140,"Intermediate Expression","control6_Seedling"
"194","DownstreamIntergenic","H2AK121ub",22.2222222222222,140,"Intermediate Expression","control6_Seedling"
"195","DownstreamIntergenic","H3ac",0,140,"Intermediate Expression","control6_Seedling"
"196","DownstreamIntergenic","H3K4me3",11.1111111111111,140,"Intermediate Expression","control6_Seedling"
"197","DownstreamIntergenic","H3K36me3",11.1111111111111,140,"Intermediate Expression","control6_Seedling"
"198","DownstreamIntergenic","H3K27ac",0,140,"Intermediate Expression","control6_Seedling"
"199","DownstreamIntergenic","H4K5ac",11.1111111111111,140,"Intermediate Expression","control6_Seedling"
"200","DownstreamIntergenic","H4K8ac",11.1111111111111,140,"Intermediate Expression","control6_Seedling"
"201","DownstreamIntergenic","H3-1",11.1111111111111,140,"Intermediate Expression","control6_Seedling"
"202","DownstreamIntergenic","H3K9ac",11.1111111111111,140,"Intermediate Expression","control6_Seedling"
"203","DownstreamIntergenic","H4K12ac",0,140,"Intermediate Expression","control6_Seedling"
"204","DownstreamIntergenic","H3K27me1",11.1111111111111,140,"Intermediate Expression","control6_Seedling"
"205","DownstreamIntergenic","H4K16ac",0,140,"Intermediate Expression","control6_Seedling"
"206","DownstreamIntergenic","H3K14ac",0,140,"Intermediate Expression","control6_Seedling"
"207","DownstreamIntergenic","H2A",0,140,"Intermediate Expression","control6_Seedling"
"208","DownstreamIntergenic","H3",0,140,"Intermediate Expression","control6_Seedling"
"209","DownstreamIntergenic","H2A-X",0,140,"Intermediate Expression","control6_Seedling"
"210","DownstreamIntergenic","H3K18ac",0,140,"Intermediate Expression","control6_Seedling"
"211","UpstreamIntergenic","H3-3",20.6349206349206,-60,"Low Expression","control6_Seedling"
"212","UpstreamIntergenic","H3K9me2",3.17460317460317,-60,"Low Expression","control6_Seedling"
"213","UpstreamIntergenic","H3K27me3",6.34920634920635,-60,"Low Expression","control6_Seedling"
"214","UpstreamIntergenic","H2A-Z",20.6349206349206,-60,"Low Expression","control6_Seedling"
"215","UpstreamIntergenic","H2AK121ub",12.6984126984127,-60,"Low Expression","control6_Seedling"
"216","UpstreamIntergenic","H3ac",0,-60,"Low Expression","control6_Seedling"
"217","UpstreamIntergenic","H3K4me3",7.93650793650794,-60,"Low Expression","control6_Seedling"
"218","UpstreamIntergenic","H3K36me3",1.58730158730159,-60,"Low Expression","control6_Seedling"
"219","UpstreamIntergenic","H3K27ac",6.34920634920635,-60,"Low Expression","control6_Seedling"
"220","UpstreamIntergenic","H4K5ac",11.1111111111111,-60,"Low Expression","control6_Seedling"
"221","UpstreamIntergenic","H4K8ac",6.34920634920635,-60,"Low Expression","control6_Seedling"
"222","UpstreamIntergenic","H3-1",6.34920634920635,-60,"Low Expression","control6_Seedling"
"223","UpstreamIntergenic","H3K9ac",17.4603174603175,-60,"Low Expression","control6_Seedling"
"224","UpstreamIntergenic","H4K12ac",6.34920634920635,-60,"Low Expression","control6_Seedling"
"225","UpstreamIntergenic","H3K27me1",4.76190476190476,-60,"Low Expression","control6_Seedling"
"226","UpstreamIntergenic","H4K16ac",7.93650793650794,-60,"Low Expression","control6_Seedling"
"227","UpstreamIntergenic","H3K14ac",9.52380952380952,-60,"Low Expression","control6_Seedling"
"228","UpstreamIntergenic","H2A",3.17460317460317,-60,"Low Expression","control6_Seedling"
"229","UpstreamIntergenic","H3",3.17460317460317,-60,"Low Expression","control6_Seedling"
"230","UpstreamIntergenic","H2A-X",1.58730158730159,-60,"Low Expression","control6_Seedling"
"231","UpstreamIntergenic","H3K18ac",1.58730158730159,-60,"Low Expression","control6_Seedling"
"232","Promotor1000","H3-3",39.6825396825397,-40,"Low Expression","control6_Seedling"
"233","Promotor1000","H3K9me2",1.58730158730159,-40,"Low Expression","control6_Seedling"
"234","Promotor1000","H3K27me3",6.34920634920635,-40,"Low Expression","control6_Seedling"
"235","Promotor1000","H2A-Z",63.4920634920635,-40,"Low Expression","control6_Seedling"
"236","Promotor1000","H2AK121ub",26.984126984127,-40,"Low Expression","control6_Seedling"
"237","Promotor1000","H3ac",0,-40,"Low Expression","control6_Seedling"
"238","Promotor1000","H3K4me3",41.2698412698413,-40,"Low Expression","control6_Seedling"
"239","Promotor1000","H3K36me3",25.3968253968254,-40,"Low Expression","control6_Seedling"
"240","Promotor1000","H3K27ac",33.3333333333333,-40,"Low Expression","control6_Seedling"
"241","Promotor1000","H4K5ac",39.6825396825397,-40,"Low Expression","control6_Seedling"
"242","Promotor1000","H4K8ac",39.6825396825397,-40,"Low Expression","control6_Seedling"
"243","Promotor1000","H3-1",20.6349206349206,-40,"Low Expression","control6_Seedling"
"244","Promotor1000","H3K9ac",57.1428571428571,-40,"Low Expression","control6_Seedling"
"245","Promotor1000","H4K12ac",41.2698412698413,-40,"Low Expression","control6_Seedling"
"246","Promotor1000","H3K27me1",11.1111111111111,-40,"Low Expression","control6_Seedling"
"247","Promotor1000","H4K16ac",42.8571428571429,-40,"Low Expression","control6_Seedling"
"248","Promotor1000","H3K14ac",41.2698412698413,-40,"Low Expression","control6_Seedling"
"249","Promotor1000","H2A",23.8095238095238,-40,"Low Expression","control6_Seedling"
"250","Promotor1000","H3",11.1111111111111,-40,"Low Expression","control6_Seedling"
"251","Promotor1000","H2A-X",3.17460317460317,-40,"Low Expression","control6_Seedling"
"252","Promotor1000","H3K18ac",9.52380952380952,-40,"Low Expression","control6_Seedling"
"253","Promotor500","H3-3",19.047619047619,-20,"Low Expression","control6_Seedling"
"254","Promotor500","H3K9me2",0,-20,"Low Expression","control6_Seedling"
"255","Promotor500","H3K27me3",7.93650793650794,-20,"Low Expression","control6_Seedling"
"256","Promotor500","H2A-Z",77.7777777777778,-20,"Low Expression","control6_Seedling"
"257","Promotor500","H2AK121ub",33.3333333333333,-20,"Low Expression","control6_Seedling"
"258","Promotor500","H3ac",0,-20,"Low Expression","control6_Seedling"
"259","Promotor500","H3K4me3",69.8412698412698,-20,"Low Expression","control6_Seedling"
"260","Promotor500","H3K36me3",41.2698412698413,-20,"Low Expression","control6_Seedling"
"261","Promotor500","H3K27ac",41.2698412698413,-20,"Low Expression","control6_Seedling"
"262","Promotor500","H4K5ac",57.1428571428571,-20,"Low Expression","control6_Seedling"
"263","Promotor500","H4K8ac",49.2063492063492,-20,"Low Expression","control6_Seedling"
"264","Promotor500","H3-1",6.34920634920635,-20,"Low Expression","control6_Seedling"
"265","Promotor500","H3K9ac",74.6031746031746,-20,"Low Expression","control6_Seedling"
"266","Promotor500","H4K12ac",46.031746031746,-20,"Low Expression","control6_Seedling"
"267","Promotor500","H3K27me1",4.76190476190476,-20,"Low Expression","control6_Seedling"
"268","Promotor500","H4K16ac",38.0952380952381,-20,"Low Expression","control6_Seedling"
"269","Promotor500","H3K14ac",44.4444444444444,-20,"Low Expression","control6_Seedling"
"270","Promotor500","H2A",4.76190476190476,-20,"Low Expression","control6_Seedling"
"271","Promotor500","H3",0,-20,"Low Expression","control6_Seedling"
"272","Promotor500","H2A-X",3.17460317460317,-20,"Low Expression","control6_Seedling"
"273","Promotor500","H3K18ac",9.52380952380952,-20,"Low Expression","control6_Seedling"
"274","Gene20","H3-3",47.6190476190476,20,"Low Expression","control6_Seedling"
"275","Gene20","H3K9me2",0,20,"Low Expression","control6_Seedling"
"276","Gene20","H3K27me3",14.2857142857143,20,"Low Expression","control6_Seedling"
"277","Gene20","H2A-Z",82.5396825396825,20,"Low Expression","control6_Seedling"
"278","Gene20","H2AK121ub",50.7936507936508,20,"Low Expression","control6_Seedling"
"279","Gene20","H3ac",0,20,"Low Expression","control6_Seedling"
"280","Gene20","H3K4me3",92.0634920634921,20,"Low Expression","control6_Seedling"
"281","Gene20","H3K36me3",77.7777777777778,20,"Low Expression","control6_Seedling"
