"","Region","Modification","Proportion","axisGroup","Expression","SampleGenes"
"150","UpstreamIntergenic","H3K14ac",0.499553969669938,-60,"Intermediate Expression","control6_Seedling"
"151","UpstreamIntergenic","H3K14ac",0,-60,"Intermediate Expression","control6_Seedling"
"152","UpstreamIntergenic","H3K14ac",0,-60,"Intermediate Expression","control6_Seedling"
"153","UpstreamIntergenic","H3K14ac",0,-60,"Intermediate Expression","control6_Seedling"
"154","UpstreamIntergenic","H2A",0,-60,"Intermediate Expression","control6_Seedling"
"155","UpstreamIntergenic","H2A",0,-60,"Intermediate Expression","control6_Seedling"
"156","UpstreamIntergenic","H2A",0,-60,"Intermediate Expression","control6_Seedling"
"157","UpstreamIntergenic","H2A",0,-60,"Intermediate Expression","control6_Seedling"
"158","UpstreamIntergenic","H2A",0,-60,"Intermediate Expression","control6_Seedling"
"159","UpstreamIntergenic","H2A",0,-60,"Intermediate Expression","control6_Seedling"
"160","UpstreamIntergenic","H2A",0,-60,"Intermediate Expression","control6_Seedling"
"161","UpstreamIntergenic","H2A",0,-60,"Intermediate Expression","control6_Seedling"
"162","UpstreamIntergenic","H2A",0,-60,"Intermediate Expression","control6_Seedling"
"163","UpstreamIntergenic","H3",0,-60,"Intermediate Expression","control6_Seedling"
"164","UpstreamIntergenic","H3",0,-60,"Intermediate Expression","control6_Seedling"
"165","UpstreamIntergenic","H3",0,-60,"Intermediate Expression","control6_Seedling"
"166","UpstreamIntergenic","H3",0,-60,"Intermediate Expression","control6_Seedling"
"167","UpstreamIntergenic","H3",0,-60,"Intermediate Expression","control6_Seedling"
"168","UpstreamIntergenic","H3",0,-60,"Intermediate Expression","control6_Seedling"
"169","UpstreamIntergenic","H3",0,-60,"Intermediate Expression","control6_Seedling"
"170","UpstreamIntergenic","H3",0,-60,"Intermediate Expression","control6_Seedling"
"171","UpstreamIntergenic","H3",0,-60,"Intermediate Expression","control6_Seedling"
"172","UpstreamIntergenic","H2A-X",0,-60,"Intermediate Expression","control6_Seedling"
"173","UpstreamIntergenic","H2A-X",0,-60,"Intermediate Expression","control6_Seedling"
"174","UpstreamIntergenic","H2A-X",0,-60,"Intermediate Expression","control6_Seedling"
"175","UpstreamIntergenic","H2A-X",0,-60,"Intermediate Expression","control6_Seedling"
"176","UpstreamIntergenic","H2A-X",0,-60,"Intermediate Expression","control6_Seedling"
"177","UpstreamIntergenic","H2A-X",0,-60,"Intermediate Expression","control6_Seedling"
"178","UpstreamIntergenic","H2A-X",0,-60,"Intermediate Expression","control6_Seedling"
"179","UpstreamIntergenic","H2A-X",0,-60,"Intermediate Expression","control6_Seedling"
"180","UpstreamIntergenic","H2A-X",0,-60,"Intermediate Expression","control6_Seedling"
"181","UpstreamIntergenic","H3K18ac",0,-60,"Intermediate Expression","control6_Seedling"
"182","UpstreamIntergenic","H3K18ac",0,-60,"Intermediate Expression","control6_Seedling"
"183","UpstreamIntergenic","H3K18ac",0,-60,"Intermediate Expression","control6_Seedling"
"184","UpstreamIntergenic","H3K18ac",0,-60,"Intermediate Expression","control6_Seedling"
"185","UpstreamIntergenic","H3K18ac",0,-60,"Intermediate Expression","control6_Seedling"
"186","UpstreamIntergenic","H3K18ac",0,-60,"Intermediate Expression","control6_Seedling"
"187","UpstreamIntergenic","H3K18ac",0,-60,"Intermediate Expression","control6_Seedling"
"188","UpstreamIntergenic","H3K18ac",0,-60,"Intermediate Expression","control6_Seedling"
"189","UpstreamIntergenic","H3K18ac",0,-60,"Intermediate Expression","control6_Seedling"
"190","Promotor1000","H3-3",0,-40,"Intermediate Expression","control6_Seedling"
"191","Promotor1000","H3-3",0,-40,"Intermediate Expression","control6_Seedling"
"192","Promotor1000","H3-3",0,-40,"Intermediate Expression","control6_Seedling"
"193","Promotor1000","H3-3",0.5,-40,"Intermediate Expression","control6_Seedling"
"194","Promotor1000","H3-3",0.038,-40,"Intermediate Expression","control6_Seedling"
"195","Promotor1000","H3-3",0,-40,"Intermediate Expression","control6_Seedling"
"196","Promotor1000","H3-3",0,-40,"Intermediate Expression","control6_Seedling"
"197","Promotor1000","H3-3",0,-40,"Intermediate Expression","control6_Seedling"
"198","Promotor1000","H3-3",0,-40,"Intermediate Expression","control6_Seedling"
"199","Promotor1000","H3K9me2",0,-40,"Intermediate Expression","control6_Seedling"
"200","Promotor1000","H3K9me2",0,-40,"Intermediate Expression","control6_Seedling"
"201","Promotor1000","H3K9me2",0,-40,"Intermediate Expression","control6_Seedling"
"202","Promotor1000","H3K9me2",0,-40,"Intermediate Expression","control6_Seedling"
"203","Promotor1000","H3K9me2",0,-40,"Intermediate Expression","control6_Seedling"
"204","Promotor1000","H3K9me2",0,-40,"Intermediate Expression","control6_Seedling"
"205","Promotor1000","H3K9me2",0,-40,"Intermediate Expression","control6_Seedling"
"206","Promotor1000","H3K9me2",0,-40,"Intermediate Expression","control6_Seedling"
"207","Promotor1000","H3K9me2",0,-40,"Intermediate Expression","control6_Seedling"
"208","Promotor1000","H3K27me3",0,-40,"Intermediate Expression","control6_Seedling"
"209","Promotor1000","H3K27me3",0,-40,"Intermediate Expression","control6_Seedling"
"210","Promotor1000","H3K27me3",0.128,-40,"Intermediate Expression","control6_Seedling"
"211","Promotor1000","H3K27me3",0.447,-40,"Intermediate Expression","control6_Seedling"
"212","Promotor1000","H3K27me3",0,-40,"Intermediate Expression","control6_Seedling"
"213","Promotor1000","H3K27me3",0,-40,"Intermediate Expression","control6_Seedling"
"214","Promotor1000","H3K27me3",0,-40,"Intermediate Expression","control6_Seedling"
"215","Promotor1000","H3K27me3",0,-40,"Intermediate Expression","control6_Seedling"
"216","Promotor1000","H3K27me3",0,-40,"Intermediate Expression","control6_Seedling"
"217","Promotor1000","H2A-Z",0.433,-40,"Intermediate Expression","control6_Seedling"
"218","Promotor1000","H2A-Z",0.5,-40,"Intermediate Expression","control6_Seedling"
"219","Promotor1000","H2A-Z",0.113,-40,"Intermediate Expression","control6_Seedling"
"220","Promotor1000","H2A-Z",0.5,-40,"Intermediate Expression","control6_Seedling"
"221","Promotor1000","H2A-Z",0.5,-40,"Intermediate Expression","control6_Seedling"
"222","Promotor1000","H2A-Z",0,-40,"Intermediate Expression","control6_Seedling"
"223","Promotor1000","H2A-Z",0,-40,"Intermediate Expression","control6_Seedling"
