"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"173","Promotor500","H2A",0.0198032786885246,"control1_leaves",-20,"No Expression",61
"174","Gene20","H2A",0.0155737704918033,"control1_leaves",20,"No Expression",61
"175","Gene40","H2A",0.0163934426229508,"control1_leaves",40,"No Expression",61
"176","Gene60","H2A",0.0420460716165223,"control1_leaves",60,"No Expression",61
"177","Gene80","H2A",0.0181728490769846,"control1_leaves",80,"No Expression",61
"178","Gene100","H2A",0.0231060210001592,"control1_leaves",100,"No Expression",61
"179","Downstream","H2A",0.0432786885245902,"control1_leaves",120,"No Expression",61
"180","DownstreamIntergenic","H2A",0.00101938919863527,"control1_leaves",140,"No Expression",61
"181","UpstreamIntergenic","H3",0,"control1_leaves",-60,"No Expression",61
"182","Promotor1000","H3",0,"control1_leaves",-40,"No Expression",61
"183","Promotor500","H3",0,"control1_leaves",-20,"No Expression",61
"184","Gene20","H3",0,"control1_leaves",20,"No Expression",61
"185","Gene40","H3",0.00484502555253202,"control1_leaves",40,"No Expression",61
"186","Gene60","H3",0,"control1_leaves",60,"No Expression",61
"187","Gene80","H3",0.0158295404195569,"control1_leaves",80,"No Expression",61
"188","Gene100","H3",0.0276992651215376,"control1_leaves",100,"No Expression",61
"189","Downstream","H3",0.00327868852459016,"control1_leaves",120,"No Expression",61
"190","DownstreamIntergenic","H3",0,"control1_leaves",140,"No Expression",61
"191","UpstreamIntergenic","H2A-X",0,"control1_leaves",-60,"No Expression",61
"192","Promotor1000","H2A-X",0.00173770491803279,"control1_leaves",-40,"No Expression",61
"193","Promotor500","H2A-X",0,"control1_leaves",-20,"No Expression",61
"194","Gene20","H2A-X",0.00299788649002368,"control1_leaves",20,"No Expression",61
"195","Gene40","H2A-X",0,"control1_leaves",40,"No Expression",61
"196","Gene60","H2A-X",0,"control1_leaves",60,"No Expression",61
"197","Gene80","H2A-X",0,"control1_leaves",80,"No Expression",61
"198","Gene100","H2A-X",0,"control1_leaves",100,"No Expression",61
"199","Downstream","H2A-X",0,"control1_leaves",120,"No Expression",61
"200","DownstreamIntergenic","H2A-X",0,"control1_leaves",140,"No Expression",61
"201","UpstreamIntergenic","H3K18ac",0,"control1_leaves",-60,"No Expression",61
"202","Promotor1000","H3K18ac",0,"control1_leaves",-40,"No Expression",61
"203","Promotor500","H3K18ac",0,"control1_leaves",-20,"No Expression",61
"204","Gene20","H3K18ac",0,"control1_leaves",20,"No Expression",61
"205","Gene40","H3K18ac",0,"control1_leaves",40,"No Expression",61
"206","Gene60","H3K18ac",0,"control1_leaves",60,"No Expression",61
