"","Region","Modification","Frequency","axisGroup","Expression","dataToAnalyse"
"199","DownstreamIntergenic","H4K5ac",0,140,"No Expression","control1_leaves"
"200","DownstreamIntergenic","H4K8ac",0,140,"No Expression","control1_leaves"
"201","DownstreamIntergenic","H3-1",0,140,"No Expression","control1_leaves"
"202","DownstreamIntergenic","H3K9ac",0,140,"No Expression","control1_leaves"
"203","DownstreamIntergenic","H4K12ac",0,140,"No Expression","control1_leaves"
"204","DownstreamIntergenic","H3K27me1",4.91803278688525,140,"No Expression","control1_leaves"
"205","DownstreamIntergenic","H4K16ac",0,140,"No Expression","control1_leaves"
"206","DownstreamIntergenic","H3K14ac",0,140,"No Expression","control1_leaves"
"207","DownstreamIntergenic","H2A",1.63934426229508,140,"No Expression","control1_leaves"
"208","DownstreamIntergenic","H3",0,140,"No Expression","control1_leaves"
"209","DownstreamIntergenic","H2A-X",0,140,"No Expression","control1_leaves"
"210","DownstreamIntergenic","H3K18ac",0,140,"No Expression","control1_leaves"
"211","UpstreamIntergenic","H3-3",0,-60,"Low Expression","control1_leaves"
"212","UpstreamIntergenic","H3K9me2",0,-60,"Low Expression","control1_leaves"
"213","UpstreamIntergenic","H3K27me3",11.0091743119266,-60,"Low Expression","control1_leaves"
"214","UpstreamIntergenic","H2A-Z",17.4311926605505,-60,"Low Expression","control1_leaves"
"215","UpstreamIntergenic","H2AK121ub",0,-60,"Low Expression","control1_leaves"
"216","UpstreamIntergenic","H3ac",0,-60,"Low Expression","control1_leaves"
"217","UpstreamIntergenic","H3K4me3",0.917431192660551,-60,"Low Expression","control1_leaves"
"218","UpstreamIntergenic","H3K36me3",0,-60,"Low Expression","control1_leaves"
"219","UpstreamIntergenic","H3K27ac",0,-60,"Low Expression","control1_leaves"
"220","UpstreamIntergenic","H4K5ac",0,-60,"Low Expression","control1_leaves"
"221","UpstreamIntergenic","H4K8ac",0,-60,"Low Expression","control1_leaves"
"222","UpstreamIntergenic","H3-1",0,-60,"Low Expression","control1_leaves"
"223","UpstreamIntergenic","H3K9ac",1.8348623853211,-60,"Low Expression","control1_leaves"
"224","UpstreamIntergenic","H4K12ac",0,-60,"Low Expression","control1_leaves"
"225","UpstreamIntergenic","H3K27me1",6.42201834862385,-60,"Low Expression","control1_leaves"
"226","UpstreamIntergenic","H4K16ac",0,-60,"Low Expression","control1_leaves"
"227","UpstreamIntergenic","H3K14ac",0,-60,"Low Expression","control1_leaves"
"228","UpstreamIntergenic","H2A",0,-60,"Low Expression","control1_leaves"
"229","UpstreamIntergenic","H3",0,-60,"Low Expression","control1_leaves"
"230","UpstreamIntergenic","H2A-X",0,-60,"Low Expression","control1_leaves"
"231","UpstreamIntergenic","H3K18ac",0,-60,"Low Expression","control1_leaves"
"232","Promotor1000","H3-3",0,-40,"Low Expression","control1_leaves"
