"","Region","Modification","Frequency","axisGroup","Expression","dataToAnalyse"
"183","Downstream","H3K27me1",0,120,"No Expression","control1_seedlings"
"184","Downstream","H4K16ac",3.07692307692308,120,"No Expression","control1_seedlings"
"185","Downstream","H3K14ac",4.61538461538462,120,"No Expression","control1_seedlings"
"186","Downstream","H2A",0,120,"No Expression","control1_seedlings"
"187","Downstream","H3",4.61538461538462,120,"No Expression","control1_seedlings"
"188","Downstream","H2A-X",0,120,"No Expression","control1_seedlings"
"189","Downstream","H3K18ac",1.53846153846154,120,"No Expression","control1_seedlings"
"190","DownstreamIntergenic","H3-3",10.7692307692308,140,"No Expression","control1_seedlings"
"191","DownstreamIntergenic","H3K9me2",4.61538461538462,140,"No Expression","control1_seedlings"
"192","DownstreamIntergenic","H3K27me3",21.5384615384615,140,"No Expression","control1_seedlings"
"193","DownstreamIntergenic","H2A-Z",23.0769230769231,140,"No Expression","control1_seedlings"
"194","DownstreamIntergenic","H2AK121ub",13.8461538461538,140,"No Expression","control1_seedlings"
"195","DownstreamIntergenic","H3ac",0,140,"No Expression","control1_seedlings"
"196","DownstreamIntergenic","H3K4me3",4.61538461538462,140,"No Expression","control1_seedlings"
"197","DownstreamIntergenic","H3K36me3",3.07692307692308,140,"No Expression","control1_seedlings"
"198","DownstreamIntergenic","H3K27ac",0,140,"No Expression","control1_seedlings"
"199","DownstreamIntergenic","H4K5ac",0,140,"No Expression","control1_seedlings"
"200","DownstreamIntergenic","H4K8ac",0,140,"No Expression","control1_seedlings"
"201","DownstreamIntergenic","H3-1",9.23076923076923,140,"No Expression","control1_seedlings"
"202","DownstreamIntergenic","H3K9ac",7.69230769230769,140,"No Expression","control1_seedlings"
"203","DownstreamIntergenic","H4K12ac",0,140,"No Expression","control1_seedlings"
"204","DownstreamIntergenic","H3K27me1",0,140,"No Expression","control1_seedlings"
"205","DownstreamIntergenic","H4K16ac",0,140,"No Expression","control1_seedlings"
"206","DownstreamIntergenic","H3K14ac",4.61538461538462,140,"No Expression","control1_seedlings"
"207","DownstreamIntergenic","H2A",0,140,"No Expression","control1_seedlings"
"208","DownstreamIntergenic","H3",3.07692307692308,140,"No Expression","control1_seedlings"
"209","DownstreamIntergenic","H2A-X",0,140,"No Expression","control1_seedlings"
"210","DownstreamIntergenic","H3K18ac",3.07692307692308,140,"No Expression","control1_seedlings"
"211","UpstreamIntergenic","H3-3",14.8760330578512,-60,"Low Expression","control1_seedlings"
"212","UpstreamIntergenic","H3K9me2",4.95867768595041,-60,"Low Expression","control1_seedlings"
"213","UpstreamIntergenic","H3K27me3",16.5289256198347,-60,"Low Expression","control1_seedlings"
"214","UpstreamIntergenic","H2A-Z",23.9669421487603,-60,"Low Expression","control1_seedlings"
"215","UpstreamIntergenic","H2AK121ub",14.8760330578512,-60,"Low Expression","control1_seedlings"
"216","UpstreamIntergenic","H3ac",0,-60,"Low Expression","control1_seedlings"
"217","UpstreamIntergenic","H3K4me3",3.30578512396694,-60,"Low Expression","control1_seedlings"
"218","UpstreamIntergenic","H3K36me3",0,-60,"Low Expression","control1_seedlings"
"219","UpstreamIntergenic","H3K27ac",0.826446280991736,-60,"Low Expression","control1_seedlings"
"220","UpstreamIntergenic","H4K5ac",3.30578512396694,-60,"Low Expression","control1_seedlings"
"221","UpstreamIntergenic","H4K8ac",2.47933884297521,-60,"Low Expression","control1_seedlings"
"222","UpstreamIntergenic","H3-1",7.43801652892562,-60,"Low Expression","control1_seedlings"
"223","UpstreamIntergenic","H3K9ac",6.61157024793388,-60,"Low Expression","control1_seedlings"
"224","UpstreamIntergenic","H4K12ac",2.47933884297521,-60,"Low Expression","control1_seedlings"
"225","UpstreamIntergenic","H3K27me1",0,-60,"Low Expression","control1_seedlings"
"226","UpstreamIntergenic","H4K16ac",0.826446280991736,-60,"Low Expression","control1_seedlings"
"227","UpstreamIntergenic","H3K14ac",0.826446280991736,-60,"Low Expression","control1_seedlings"
"228","UpstreamIntergenic","H2A",0,-60,"Low Expression","control1_seedlings"
"229","UpstreamIntergenic","H3",5.78512396694215,-60,"Low Expression","control1_seedlings"
"230","UpstreamIntergenic","H2A-X",0,-60,"Low Expression","control1_seedlings"
