"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"179","Downstream","H2A",0,"control1_seedlings",120,"No Expression",65
"180","DownstreamIntergenic","H2A",0,"control1_seedlings",140,"No Expression",65
"181","UpstreamIntergenic","H3",0.00349933458019678,"control1_seedlings",-60,"No Expression",65
"182","Promotor1000","H3",0.0118615384615385,"control1_seedlings",-40,"No Expression",65
"183","Promotor500","H3",0.0326153846153846,"control1_seedlings",-20,"No Expression",65
"184","Gene20","H3",0.0918238953376656,"control1_seedlings",20,"No Expression",65
"185","Gene40","H3",0.185112932850547,"control1_seedlings",40,"No Expression",65
"186","Gene60","H3",0.164110161417839,"control1_seedlings",60,"No Expression",65
"187","Gene80","H3",0.10925764430313,"control1_seedlings",80,"No Expression",65
"188","Gene100","H3",0.0715121744648093,"control1_seedlings",100,"No Expression",65
"189","Downstream","H3",0.0355384615384615,"control1_seedlings",120,"No Expression",65
"190","DownstreamIntergenic","H3",0.00208353085837755,"control1_seedlings",140,"No Expression",65
"191","UpstreamIntergenic","H2A-X",0,"control1_seedlings",-60,"No Expression",65
"192","Promotor1000","H2A-X",0,"control1_seedlings",-40,"No Expression",65
"193","Promotor500","H2A-X",0,"control1_seedlings",-20,"No Expression",65
"194","Gene20","H2A-X",0,"control1_seedlings",20,"No Expression",65
"195","Gene40","H2A-X",0,"control1_seedlings",40,"No Expression",65
"196","Gene60","H2A-X",0,"control1_seedlings",60,"No Expression",65
"197","Gene80","H2A-X",0,"control1_seedlings",80,"No Expression",65
"198","Gene100","H2A-X",0,"control1_seedlings",100,"No Expression",65
"199","Downstream","H2A-X",0,"control1_seedlings",120,"No Expression",65
"200","DownstreamIntergenic","H2A-X",0,"control1_seedlings",140,"No Expression",65
"201","UpstreamIntergenic","H3K18ac",0.00357244518501683,"control1_seedlings",-60,"No Expression",65
"202","Promotor1000","H3K18ac",0.0191692307692308,"control1_seedlings",-40,"No Expression",65
"203","Promotor500","H3K18ac",0.0469846153846154,"control1_seedlings",-20,"No Expression",65
"204","Gene20","H3K18ac",0.049012719122343,"control1_seedlings",20,"No Expression",65
"205","Gene40","H3K18ac",0.0813671247546526,"control1_seedlings",40,"No Expression",65
"206","Gene60","H3K18ac",0.07460625261538,"control1_seedlings",60,"No Expression",65
"207","Gene80","H3K18ac",0.0263533786286922,"control1_seedlings",80,"No Expression",65
"208","Gene100","H3K18ac",0.00651336523875681,"control1_seedlings",100,"No Expression",65
"209","Downstream","H3K18ac",0.00607692307692308,"control1_seedlings",120,"No Expression",65
"210","DownstreamIntergenic","H3K18ac",0.0047873860535063,"control1_seedlings",140,"No Expression",65
"211","UpstreamIntergenic","H3-3",0.0351611992023131,"control1_seedlings",-60,"Low Expression",121
"212","Promotor1000","H3-3",0.144074380165289,"control1_seedlings",-40,"Low Expression",121
"213","Promotor500","H3-3",0.104661157024793,"control1_seedlings",-20,"Low Expression",121
"214","Gene20","H3-3",0.159091176466319,"control1_seedlings",20,"Low Expression",121
"215","Gene40","H3-3",0.355879366645184,"control1_seedlings",40,"Low Expression",121
"216","Gene60","H3-3",0.679900916773662,"control1_seedlings",60,"Low Expression",121
"217","Gene80","H3-3",0.760631978863575,"control1_seedlings",80,"Low Expression",121
"218","Gene100","H3-3",0.596625435667166,"control1_seedlings",100,"Low Expression",121
"219","Downstream","H3-3",0.372603305785124,"control1_seedlings",120,"Low Expression",121
"220","DownstreamIntergenic","H3-3",0.0693443550327041,"control1_seedlings",140,"Low Expression",121
"221","UpstreamIntergenic","H3K9me2",0.0148405118218687,"control1_seedlings",-60,"Low Expression",121
"222","Promotor1000","H3K9me2",0.0143223140495868,"control1_seedlings",-40,"Low Expression",121
